Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Benin,,,,,2.6879412,2.6643286,1.3308196,1.2088912,1.5111507,1.8427838,2.1204134,1.8989337,23.7731327,22.2953487,28.6939205,11.1293394,2.8876204,3.3273822,15.51696383,15.15133,20.68758192,20.727603,21.149125,21.458697,23.25178469,26.48450693,33.6153226,17.0644553,29.87701856,5.9347169,8.8795094,10.2586698,6.6170417,5.66241954,6.20877213,33.5280912,60.7909758,107.5455297,74.31355391,69.94696934,63.37867221,61.5512306,87.74695182,101.0337953,144.1712666,98.177445,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.58,177.9472282,190.9151022,212.5640011,238.6230658,215.4244938,217.1486458,218.7841772,224.1470869,224.359804,229.855048
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.02249103,60.50340368,61.00791624,47.65021522,70.77976567,92.28327405,73.76518232,57.94982929,52.11952198,54.958722,52.52625
Bolivia,,,,,,,1.8,2,2.2,2,2.4,2.2,2.3,2.3,2.2,3.3,5.1,4.2,7.1,7.7,7.7,8.6,8.9,9.5,9.8,9.2,13,12,15.1,32.1,37,36.38,37.88,45.78141,50.586783,66.71982004,73.24033647,78.91228945,105.8834496,103.47,101.7840717,117.2585635,147.1126723,172.1588142,180.1370439,210.175748,229.3823975
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.350912,10.8073412,14.0092757,20.0216138,62.067341,39.99345004,54.51013099,65.39781904,55.2927392,55.05585187,46.44015907,51.68011414,46.84696126,48.44504904,51.82957924,59.953622,61.705107
Botswana,,,,,,3.9215278,36.800009,40.619523,34.293015,16.8096785,25.8612369,29.04133733,25.5423918,22.6086384,24.03006815,15.66305203,22.03130629,1.1316658,,36.42886345,118.8949537,118.9677264,139.733852,132.7239151,145.7548114,200.106454,98.219219,131.534136,130.110178,135.174431,147.300496,139.316899,143.593046,205.416014,120.422664,107.1668525,97.30541807,98.65554103,56.26354687,59.50372467,85.47379643,106.3361175,107.4950979,80.82898704,88.57478894,78.532494,69.991496
Brazil,,,,,,108,103,114,147,27,152,154,168,19,5,6,10,10,7,9,12,22,34,203,252,347,409,375,444,330,365.663,709,360.471,333.214,401.115,373.953,529.306,562.634,813.083,730.8961,1023.656775,1123.817122,1063.670887,1150.189009,1538.775898,1339.086904,1385.076056
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.225732,96.975674,354,375.5746789,405.4664937,430.2853466,420.360159,444.8174386,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,15.5,3.4203386,3.8172298,25.957719,26.957169,14.492716,12.586214,29.436636,35.45228533,49.57745277,102.6054217,161.810952,101.2499286,20.33,23.55,27.63,161.95,169.06,150.83,166.7
Burkina Faso,,,,,13.680665,31.015398,30.2614987,40.51617,34.3487649,39.3942042,51.9311964,45.4198436,35.5105843,39.7831312,35.5298391,40.7578667,49.26858,58.355629,56.955184,56.073776,80.855112,70.661155,70.100396,61.805483,50.952379,,,,,,44.5071015,44.0317931,50.0969743,77.183372,79.165631,83.82686348,86.0773596,93.19861426,99.61249773,99.30826227,111.7879441,41.98224753,71.42421516,148.9109271,160.3410244,,
Burundi,,,,,,,,,,,,,,,,8.54249392,6.9982694,8.7970725,5.94038252,5.37605044,5.83923132,5.04097287,7.67152928,7.1916962,4.1240786,5.27711883,4.81260464,2.40101603,2.18261405,2.092225823,2.470883674,2.391391606,3.27950867,4.2164379,0.96239441,0.193606158,0.206185857,0.225443049,0.241799963,1.114227941,4.957959182,6.163321192,5.235126899,6.97849912,14.84605803,21.031068,
Cabo Verde,,,,,,,,,,,,,,,,,1.080542599,1.43088122,2.2843861,1.79832577,1.83032352,3.04964412,4.71789766,3.66856251,2.74597284,5.16568352,3.4802627,5.23747,0.41255244,0.46919388,0.462972111,0.28270142,1.52254828,7.19654951,11.97097064,5.168676182,5.720330737,6.026453148,10.01375838,11.83287984,7.964018419,8.621391407,9.882716116,9.8498966,11.38533074,14.20480975,26.89089
Cambodia,,,,,,,,,,,,,,,,,,,,,,,14.1,14.9,38.4,52,77.2,38.8,136.17704,121.923277,103.8379,110.334548,133.0233,109.48921,129.405966,128.4905,120.2405,118.3965,170.6275,159.2871319,170.5129639,149.9341522,133.5406909,180.6103567,218.8895524,251.464152,252.466904
Cameroon,,,,,,,,10.908513,20.119132,37.090725,101.76091,101.4604666,98.0504779,117.6420667,106.3412924,139.081541,134.8756618,137.0855387,160.314488,114.563988,110.884702,95.3539214,135.376374,106.5112486,62.229301,22.3380453,37.081634,39.8254573,33.510027,28.118441,29.980072,41.73928085,55.576407,56.73826958,42.170435,56.17590447,91.6712692,89.56389543,56.34815512,129.9465935,54.17977987,80.61184913,72.90503752,65.11213173,82.11725751,75.577036,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3260.706885,3286.652721,4566.586209,4859.367364,4657.241478,5290.184985,5556.135644,5630.387989,5704.383062,5685.066422,4867.037696,4738.534784
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,11.33589865,14.82345763,10.511389,19.60909084,15.78396583,17.71420927,16.73988039,15.264672,15.051319,24.230023,28.944898,33.013459,31.18414186,35.98702622,35.199422,34.591173,35.9687357,27.37729,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,11.506853,8.3224074,8.54638,4.113034,0.59249674,0.66340795,2.9627411,,10.519452,17.663574,25.324706,35.219281,31.199815,38.932688,38.80089353,46.90360587,40.94820756,15.42133906,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,70,93,81,14,14,13,12.1,14.2,14.1,17.6,7.2,,,,,,14,20.5,15.808,14.4,15.6,15.7,15.9,15.3,15.2,16.2,5.7,5.7,5.7,5.6,1.6,0.21,224.7860394,308.0209311,280.1038232,295.156,296.11136
China,,,,,,,,,,,,,3,2,2,3,3,3,4,3,5,18,15,15,19,,,219,319,619,789.212,990,1222.631418,1597,1996,1817.41369,2329.992813,2493.058145,2736.390791,2051.656434,1455.455375,1618.147148,1788.058506,1714.202599,4155.302052,20421.77843,20285.99501
Colombia,13,13.03874,15.19994,14.30556,14.43168,16.9981,19.62684,21.01536,16,20,39.0459,53.0622,35.32832,48,72,98,31,32,14,17,44,105,79.2,84.9,145.7567976,149.9876505,140.1243145,112.029279,151.220538,247.222925,219.252647,204.367507,157.548259,64.95291,50.532704,56.16140361,65.52690596,95.05691252,88.29170277,92.23173456,112.3543029,117.3852884,127.5085677,147.0586528,204.017057,109.869632,45.526214
Comoros,,,,,,,,,,,1.5193269,0.7433873,4.7717086,3.9940922,5.1195442,4.9080803,6.7859655,5.9227905,4.2639529,5.2318831,4.4332219,6.3664347,11.035569,5.3609233,6.0470872,3.5046751,,,,,,,,,,0.399392006,0.407988641,0.455139455,0.664395165,0.591913796,0.785844568,0.894159004,0.826446441,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1392,5.7285,6.65,5,27.9,32.3,31.5,26.4,37.4,30.9,57.2,39.6,55.30622208,135.9124352,95.05215125,17.422244,
"Congo, Rep.",,,,,,,,,9.4302891,18.36202479,39.142453,22.470715,23.916161,30.498651,34.168148,34.204912,38.97132535,53.07174529,55.24961695,40.437819,55.460716,52.462381,53.2695,45.203713,23.234674,27.3886468,38.4261686,34.5503826,34.5875734,45.767484,36.5363298,31.5890638,34.8642915,39.2291597,49.405168,,,,,,,,,,,,
